 Report Section , Region , PT Mode , Measures , 2010/11 , 2011/12 , 2012/13 , 2013/14 , 2014/15 , 2015/16 , 2016/17 , 2017/18 , 2018/19 , 2019/20 , 2020/21 , 2021/22 , 2022/23 , 2023/24 , 2024/25 
 Territorial , Bay of Plenty Regional Council , Bus , Passenger kilometres ," 21,202,596 "," 26,017,243 "," 26,368,092 "," 25,050,302 "," 26,556,095 "," 26,766,310 "," 26,655,919 "," 24,005,085 "," 22,520,713 "," 19,730,790 "," 22,591,016 "," 19,401,622 "," 23,824,982 "," 32,761,524 "," 32,089,931 "
 Territorial , Bay of Plenty Regional Council , Bus , Service kilometres ," 5,117,546 "," 4,760,476 "," 4,713,062 "," 4,798,674 "," 5,504,912 "," 6,501,886 "," 6,373,009 "," 5,636,941 "," 6,291,941 "," 6,242,680 "," 7,302,702 "," 6,379,603 "," 5,784,089 "," 5,791,449 "," 5,350,867 "
 Territorial , Bay of Plenty Regional Council , Bus , SuperGold Fare Substitute ," 492,818 "," 547,719 "," 627,281 "," 674,753 "," 643,038 "," 653,967 "," 714,573 "," 721,917 "," 768,212 "," 843,504 "," 914,864 "," 915,234 "," 974,040 "," 1,063,724 "," 1,142,201 "
 Territorial , Bay of Plenty Regional Council , Ferry , Boardings ," 28,411 "," 24,666 "," 26,321 "," 29,959 "," 28,778 "," 28,028 "," 30,405 "," 25,414 "," 27,182 "," 23,786 "," 24,516 "," 20,844 "," 29,792 "," 32,744 "," 29,292 "
 Territorial , Bay of Plenty Regional Council , Ferry , Fares ," 38,761 "," 33,497 "," 35,699 "," 40,885 "," 39,415 ",,,,,," 29,748 "," 29,400 "," 41,285 "," 45,276 "," 40,748 "
 Territorial , Bay of Plenty Regional Council , Ferry , Fleet Size , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 Territorial , Bay of Plenty Regional Council , Ferry , Passenger kilometres ," 85,233 "," 73,998 "," 78,963 "," 89,877 "," 86,334 ",,,,,,,,," 115,422 "," 103,254 "
 Territorial , Bay of Plenty Regional Council , Ferry , Service kilometres ," 8,760 "," 8,448 "," 8,760 "," 8,760 "," 8,424 ",,,,,,,,," 10,321 ", -   
 Territorial , Buller District , Bus , Boardings ," 5,634 "," 5,403 "," 14,268 "," 14,996 "," 14,775 "," 15,372 ",,,,,,,,,
 Territorial , Buller District , Bus , Fares ," 98,411 "," 108,360 "," 147,228 "," 170,647 "," 160,470 "," 158,656 ",,,,,,,,,
 Territorial , Buller District , Bus , Fleet Size , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,,,
 Territorial , Buller District , Bus , Passenger kilometres ," 46,402 "," 45,696 "," 59,509 "," 68,802 "," 64,316 "," 66,186 ",,,,,,,,,
 Territorial , Buller District , Bus , Service kilometres ,,,,,,,," 76,051 "," 130,918 "," 142,412 "," 128,450 "," 97,019 "," 109,046 "," 118,610 ",
 Territorial , Canterbury Regional Council , Bus , Boardings ," 13,109,822 "," 11,352,649 "," 13,417,358 "," 14,174,013 "," 14,219,679 "," 13,737,967 "," 13,249,574 "," 13,621,278 "," 13,715,126 "," 11,035,588 "," 10,313,062 "," 8,832,320 "," 11,667,358 "," 14,573,493 "," 15,220,103 "
 Territorial , Canterbury Regional Council , Bus , Boardings SuperGold ," 1,287,783 "," 1,163,030 "," 1,277,651 "," 1,344,205 "," 1,366,788 "," 1,365,649 "," 1,387,216 "," 1,453,175 "," 1,561,453 "," 1,186,002 "," 1,301,479 "," 1,113,854 "," 1,407,268 "," 1,406,863 "," 1,456,489 "
 Territorial , Canterbury Regional Council , Bus , Fares ," 17,998,780 "," 13,470,415 "," 15,780,886 "," 16,437,967 "," 18,731,244 "," 21,364,693 "," 20,506,470 "," 18,286,609 "," 18,975,314 "," 14,191,708 "," 13,411,796 "," 10,225,452 "," 8,249,456 "," 12,084,091 "," 12,591,854 "
 Territorial , Canterbury Regional Council , Bus , Fleet Size , 321 , 280 , 263 , 244 , 241 , 240 , 254 , 254 , 254 , 254 , 240 , 245 , 276 , 305 , 310 
 Territorial , Canterbury Regional Council , Bus , Passenger kilometres ," 111,433,488 "," 96,497,517 "," 114,047,543 "," 120,479,110 "," 120,867,272 "," 116,772,720 "," 112,621,379 "," 115,938,408 ",,,,,," 122,885,078 "," 128,695,277 "
 Territorial , Canterbury Regional Council , Bus , Service kilometres ," 20,392,554 "," 18,373,496 "," 16,794,358 "," 17,479,590 "," 17,264,677 "," 15,941,822 "," 16,043,222 "," 16,453,197 "," 15,904,210 "," 15,947,696 "," 16,812,550 "," 16,258,187 "," 16,859,222 "," 15,798,077 "," 16,225,778 "
 Territorial , Canterbury Regional Council , Bus , SuperGold Fare Substitute ," 2,551,326 "," 2,133,997 "," 2,346,406 "," 2,648,429 "," 2,751,623 "," 2,751,922 "," 3,172,874 "," 2,955,556 "," 2,999,553 "," 3,350,567 "," 3,074,098 "," 3,082,141 "," 3,291,248 "," 3,702,526 "," 4,002,770 "
 Territorial , Canterbury Regional Council , Ferry , Boardings ," 122,393 "," 79,818 "," 112,480 "," 130,466 "," 124,416 "," 121,107 "," 113,002 "," 129,102 "," 151,094 "," 126,641 "," 132,938 "," 114,190 "," 135,176 "," 155,203 "," 174,998 "
 Territorial , Canterbury Regional Council , Ferry , Boardings SuperGold ," 9,489 "," 12,163 "," 18,372 "," 18,927 "," 19,301 "," 18,199 "," 17,508 "," 20,045 "," 26,996 "," 20,102 "," 25,140 "," 20,612 "," 26,553 "," 23,910 "," 26,585 "
 Territorial , Canterbury Regional Council , Ferry , Fares ," 258,909 "," 189,231 "," 272,064 "," 327,178 "," 344,370 "," 395,006 "," 385,268 "," 376,427 "," 405,168 "," 308,805 "," 352,882 "," 276,749 "," 201,832 "," 385,850 "," 442,317 "
 Territorial , Canterbury Regional Council , Ferry , Fleet Size , 2 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 
 Territorial , Canterbury Regional Council , Ferry , Passenger kilometres ," 282,447 "," 239,454 "," 337,440 "," 391,398 "," 373,248 "," 363,321 "," 339,006 "," 387,306 ",,,,," 378,171 "," 465,609 "," 524,994 "
 Territorial , Canterbury Regional Council , Ferry , Service kilometres ," 47,481 "," 47,476 "," 47,482 "," 47,268 "," 47,223 "," 47,466 "," 47,466 "," 47,666 "," 47,666 "," 47,466 "," 45,977 "," 45,974 "," 45,974 "," 38,849 "," 41,172 "
 Territorial , Canterbury Regional Council , Ferry , SuperGold Fare Substitute ," 30,468 "," 38,499 "," 58,151 "," 65,062 "," 67,637 "," 63,776 "," 64,323 "," 59,917 "," 66,201 "," 78,844 "," 73,269 "," 66,592 "," 69,999 "," 77,759 "," 82,586 "
 Territorial , Gisborne District , Bus , Boardings ," 152,258 "," 157,596 "," 157,008 "," 139,473 "," 138,261 "," 146,129 "," 142,373 "," 142,082 "," 133,426 "," 100,054 "," 121,487 "," 116,408 "," 123,343 "," 123,934 "," 130,194 "
 Territorial , Gisborne District , Bus , Boardings SuperGold ," 17,084 "," 16,751 "," 17,325 "," 12,532 "," 12,328 "," 13,166 "," 12,228 "," 13,694 "," 12,962 "," 13,088 "," 13,156 "," 10,452 "," 11,306 "," 13,799 "," 12,796 "
 Territorial , Gisborne District , Bus , Fares ," 187,226 "," 194,766 "," 196,872 "," 168,140 "," 164,190 "," 116,160 "," 159,593 "," 146,018 "," 143,684 "," 115,680 "," 119,516 "," 93,477 "," 68,745 "," 99,959 "," 138,234 "
 Territorial , Gisborne District , Bus , Fleet Size , 11 , 11 , 11 , 11 , 11 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 13 
 Territorial , Gisborne District , Bus , Passenger kilometres ," 913,548 "," 945,576 "," 942,048 "," 836,838 "," 829,566 "," 1,065,440 "," 869,578 "," 870,020 "," 875,573 "," 602,283 "," 1,348,159 "," 1,055,145 "," 1,163,212 "," 1,561,626 "," 1,645,110 "
 Territorial , Gisborne District , Bus , Service kilometres ," 127,481 "," 129,552 "," 129,552 "," 103,512 "," 103,512 "," 107,652 "," 112,526 "," 113,217 "," 115,995 "," 173,558 "," 173,558 "," 188,481 "," 245,345 "," 126,840 "," 133,866 "
 Territorial , Gisborne District , Bus , SuperGold Fare Substitute ," 20,658 "," 18,936 "," 19,585 "," 14,167 "," 13,936 "," 14,883 "," 13,823 "," 15,480 "," 15,647 "," 13,955 "," 13,089 "," 13,095 "," 34,022 "," 31,702 "," 30,493 "
 Territorial , Greater Wellington , Bus , Boardings ," 24,022,706 "," 24,108,471 "," 23,607,936 "," 23,981,194 "," 24,098,765 "," 24,331,408 "," 24,437,473 "," 24,716,617 "," 24,746,993 "," 21,335,320 "," 21,670,682 "," 17,654,506 "," 22,272,833 "," 26,139,916 "," 26,193,836 "
 Territorial , Greater Wellington , Bus , Boardings SuperGold ," 1,750,030 "," 1,884,154 "," 1,945,675 "," 2,009,768 "," 2,075,325 "," 2,279,102 "," 2,293,596 "," 2,355,491 "," 2,366,943 "," 1,965,254 "," 2,165,453 "," 1,794,007 "," 1,993,603 "," 2,243,097 "," 2,480,800 "
 Territorial , Greater Wellington , Bus , Fares ," 48,455,727 "," 50,090,296 "," 50,420,769 "," 51,643,143 "," 52,108,254 "," 52,175,027 "," 52,191,252 "," 52,548,132 "," 42,657,622 "," 32,391,310 "," 36,448,404 "," 24,927,535 "," 17,587,558 "," 31,526,940 "," 39,857,635 "
 Territorial , Greater Wellington , Bus , Fleet Size , 505 , 499 , 517 , 505 , 515 , 502 , 517 , 436 , 466 , 451 , 450 , 475 , 445 , 463 , 482 
 Territorial , Greater Wellington , Bus , Passenger kilometres ," 165,844,583 "," 167,341,426 "," 167,918,929 "," 167,943,006 "," 168,211,609 "," 169,199,616 "," 169,947,585 "," 171,736,042 "," 162,335,011 "," 127,491,508 "," 121,952,897 "," 97,724,675 "," 119,837,629 "," 157,926,883 "," 162,741,753 "
 Territorial , Greater Wellington , Bus , Service kilometres ," 17,005,944 "," 16,780,946 "," 16,071,292 "," 16,550,815 "," 16,754,976 "," 16,683,161 "," 16,000,322 "," 16,107,184 "," 15,031,351 "," 14,753,195 "," 15,486,195 "," 15,509,232 "," 16,148,382 "," 16,616,271 "," 16,614,522 "
 Territorial , Greater Wellington , Bus , SuperGold Fare Substitute ," 4,197,908 "," 4,363,425 "," 4,065,850 "," 4,175,554 "," 4,301,509 "," 4,731,285 "," 4,663,563 "," 4,551,117 "," 4,304,889 "," 4,740,933 "," 4,325,949 "," 4,346,754 "," 5,568,844 "," 6,151,480 "," 6,621,038 "
 Territorial , Greater Wellington , Exempt Services , Boardings , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Territorial , Greater Wellington , Exempt Services , Boardings SuperGold ,,,,,,,,," 220,832 "," 148,903 "," 57,042 "," 40,618 "," 50,085 "," 52,013 "," 50,881 "
 Territorial , Greater Wellington , Exempt Services , SuperGold Fare Substitute ,,,,,,,,," 858,062 "," 624,596 "," 106,726 "," 83,641 "," 108,850 "," 108,819 "," 119,480 "
 Territorial , Greater Wellington , Ferry , Boardings ," 177,101 "," 176,698 "," 192,549 "," 180,155 "," 179,106 "," 197,889 "," 195,751 "," 204,209 "," 202,201 "," 165,382 "," 167,648 "," 137,424 "," 194,661 "," 187,953 "," 128,459 "
 Territorial , Greater Wellington , Ferry , Boardings SuperGold ," 11,261 "," 10,894 "," 13,474 "," 10,811 "," 12,592 "," 14,495 "," 11,771 "," 12,950 "," 14,801 "," 10,381 "," 13,103 "," 11,542 "," 13,121 "," 6,266 "," 12,457 "
 Territorial , Greater Wellington , Ferry , Fares ," 1,107,761 "," 1,160,905 "," 1,318,960 "," 1,217,730 "," 1,280,669 "," 1,354,469 "," 1,355,796 "," 1,359,403 "," 1,406,366 "," 1,034,086 "," 1,201,370 "," 1,034,134 "," 1,473,610 "," 932,204 "," 1,174,390 "
 Territorial , Greater Wellington , Ferry , Fleet Size , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 3 
 Territorial , Greater Wellington , Ferry , Passenger kilometres ," 1,946,671 "," 1,651,901 "," 1,817,630 "," 1,990,624 "," 1,964,131 "," 2,209,722 "," 2,124,039 "," 2,213,561 "," 2,195,916 "," 1,782,263 "," 1,788,189 "," 1,559,803 "," 2,213,295 "," 2,137,010 "," 1,496,437 "
 Territorial , Greater Wellington , Ferry , Service kilometres ," 97,908 "," 106,261 "," 109,083 "," 104,858 "," 100,304 "," 107,216 "," 97,181 "," 95,535 "," 99,226 "," 85,507 "," 118,386 "," 96,282 "," 118,262 "," 102,355 "," 95,036 "
 Territorial , Greater Wellington , Ferry , SuperGold Fare Substitute ," 70,388 "," 64,654 "," 83,093 "," 67,216 "," 78,289 "," 90,121 "," 73,185 "," 71,420 "," 81,382 "," 107,796 "," 84,734 "," 83,456 "," 85,404 "," 89,239 "," 93,484 "
 Territorial , Greater Wellington , Rail , Boardings ," 11,202,227 "," 11,247,139 "," 11,355,403 "," 11,643,292 "," 12,128,995 "," 12,801,182 "," 13,121,525 "," 13,552,866 "," 14,323,878 "," 11,489,110 "," 11,270,837 "," 8,133,999 "," 10,711,688 "," 11,290,959 "," 10,425,644 "
 Territorial , Greater Wellington , Rail , Boardings SuperGold ," 290,509 "," 348,301 "," 405,052 "," 434,467 "," 464,910 "," 548,094 "," 536,821 "," 559,952 "," 580,943 "," 416,093 "," 449,042 "," 357,437 "," 328,458 "," 265,418 "," 340,072 "
 Territorial , Greater Wellington , Rail , Fares ," 35,102,000 "," 37,981,404 "," 40,390,621 "," 41,437,709 "," 43,242,806 "," 45,661,790 "," 48,191,936 "," 50,642,622 "," 53,124,457 "," 40,427,574 "," 43,282,900 "," 27,339,539 "," 18,408,462 "," 33,615,844 "," 37,904,323 "
 Territorial , Greater Wellington , Rail , Fleet Size , 163 , 166 , 164 , 164 , 164 , 170 , 184 , 190 , 190 , 190 , 190 , 190 , 190 , 190 , -   
 Territorial , Greater Wellington , Rail , Passenger kilometres ," 260,940,146 "," 267,528,273 "," 269,476,824 "," 274,211,501 "," 290,527,197 "," 305,684,273 "," 311,011,027 "," 320,102,960 "," 339,526,173 "," 272,506,244 "," 267,388,819 "," 190,217,444 "," 249,801,486 "," 266,335,721 "," 251,420,361 "
 Territorial , Greater Wellington , Rail , Service kilometres ," 3,268,116 "," 3,306,210 "," 3,413,605 "," 3,411,182 "," 3,580,362 "," 3,455,316 "," 3,373,101 "," 3,411,587 "," 3,587,714 "," 3,472,969 "," 3,588,935 "," 3,525,229 "," 3,610,361 "," 3,178,363 "," 3,053,303 "
 Territorial , Greater Wellington , Rail , SuperGold Fare Substitute ," 1,193,022 "," 1,374,439 "," 1,688,926 "," 1,838,628 "," 1,968,129 "," 2,320,026 "," 2,262,804 "," 2,208,244 "," 2,412,705 "," 2,834,516 "," 2,639,862 "," 2,623,393 "," 2,699,171 "," 2,795,164 "," 2,926,797 "
 Territorial , Hawkes Bay Regional Council , Bus , Boardings ," 554,647 "," 681,566 "," 761,392 "," 799,845 "," 744,381 "," 694,557 "," 688,151 "," 666,127 "," 645,297 "," 511,667 "," 602,341 "," 438,178 "," 405,561 "," 490,816 "," 567,843 "
 Territorial , Hawkes Bay Regional Council , Bus , Boardings SuperGold ," 80,727 "," 101,898 "," 118,531 "," 125,649 "," 115,753 "," 118,838 "," 117,419 "," 119,088 "," 115,356 "," 84,960 "," 92,709 "," 65,356 "," 52,638 "," 55,207 "," 64,221 "
 Territorial , Hawkes Bay Regional Council , Bus , Fares ," 822,592 "," 979,472 "," 1,127,073 "," 1,266,096 "," 1,189,593 "," 1,109,845 "," 1,085,169 "," 1,026,323 "," 1,009,103 "," 680,131 "," 518,894 "," 395,724 "," 252,616 "," 525,955 "," 769,210 "
 Territorial , Hawkes Bay Regional Council , Bus , Fleet Size , 20 , 26 , 28 , 26 , 24 , 22 , 23 , 25 , 24 , 24 , 25 , 25 , 25 , 25 , 26 
 Territorial , Hawkes Bay Regional Council , Bus , Passenger kilometres ," 3,882,529 "," 4,770,892 "," 5,558,531 "," 5,838,868 "," 7,555,620 "," 7,161,305 "," 7,335,951 "," 7,047,233 "," 6,949,061 "," 5,413,623 "," 5,487,018 "," 4,789,741 "," 3,955,092 "," 5,058,481 "," 5,473,108 "
 Territorial , Hawkes Bay Regional Council , Bus , Service kilometres ," 794,660 "," 1,036,045 "," 1,146,751 "," 1,200,851 "," 932,537 "," 962,107 "," 1,021,868 "," 1,022,000 "," 1,023,500 "," 1,000,111 "," 5,162,954 "," 5,162,954 "," 5,161,058 "," 919,999 "," 1,050,302 "
 Territorial , Hawkes Bay Regional Council , Bus , SuperGold Fare Substitute ," 173,089 "," 210,796 "," 245,205 "," 259,930 "," 239,458 "," 245,840 "," 242,904 "," 246,357 "," 248,796 "," 236,051 "," 236,330 "," 236,433 "," 251,976 "," 164,723 "," 285,117 "
 Territorial , Horizons Manawatu , Bus , Boardings ," 1,599,934 "," 1,635,096 "," 1,620,202 "," 1,577,158 "," 1,447,403 "," 1,356,938 "," 1,301,374 "," 1,390,386 "," 1,335,248 "," 993,364 "," 864,522 "," 607,897 "," 838,802 "," 1,078,318 "," 1,402,349 "
 Territorial , Horizons Manawatu , Bus , Boardings SuperGold ," 90,333 "," 95,649 "," 100,064 "," 102,614 "," 99,231 "," 98,341 "," 100,947 "," 110,753 "," 118,069 "," 83,585 "," 86,870 "," 75,730 "," 89,213 "," 104,474 "," 133,659 "
 Territorial , Horizons Manawatu , Bus , Fares ," 1,079,544 "," 1,144,606 "," 1,292,679 "," 1,382,208 "," 1,249,700 "," 1,170,942 "," 986,528 "," 1,098,247 "," 1,091,921 "," 700,259 "," 664,680 "," 582,802 "," 738,195 "," 639,146 "," 953,934 "
 Territorial , Horizons Manawatu , Bus , Fleet Size , 46 , 48 , 52 , 52 , 50 , 52 , 48 , 46 , 45 , 42 , 46 , 44 , 50 , 72 , 73 
 Territorial , Horizons Manawatu , Bus , Passenger kilometres ," 16,371,395 "," 16,621,807 "," 16,638,914 "," 16,417,477 "," 16,161,786 "," 14,107,670 "," 12,681,922 "," 13,127,422 "," 13,369,334 "," 9,640,769 "," 8,914,763 "," 6,807,273 "," 9,081,991 "," 11,682,623 "," 13,965,194 "
 Territorial , Horizons Manawatu , Bus , Service kilometres ," 1,375,530 "," 1,381,737 "," 1,422,181 "," 1,391,569 "," 1,394,002 "," 1,440,200 "," 1,528,352 "," 1,703,613 "," 1,611,916 "," 1,536,508 "," 1,626,984 "," 1,603,741 "," 1,725,000 "," 2,119,359 "," 3,561,967 "
 Territorial , Horizons Manawatu , Bus , SuperGold Fare Substitute ," 116,403 "," 135,255 "," 149,525 "," 154,027 "," 148,156 "," 146,738 "," 155,727 "," 174,858 "," 179,302 "," 210,967 "," 259,671 "," 259,783 "," 274,832 "," 300,905 "," 324,123 "
 Territorial , Invercargill City , Bus , Boardings ," 373,000 "," 393,000 "," 310,531 "," 266,666 "," 245,118 "," 211,425 "," 198,826 "," 187,183 "," 182,640 "," 148,349 "," 145,586 "," 109,471 "," 141,837 "," 159,968 "," 165,497 "
 Territorial , Invercargill City , Bus , Boardings SuperGold ," 25,557 "," 16,161 "," 13,036 "," 16,095 "," 25,733 "," 26,540 "," 26,853 "," 28,649 "," 30,716 "," 26,499 "," 20,621 "," 13,373 "," 15,084 "," 15,532 "," 14,956 "
 Territorial , Invercargill City , Bus , Fares ," 171,000 "," 202,000 "," 262,915 "," 333,151 "," 324,889 "," 313,583 "," 294,614 "," 281,814 "," 282,430 "," 196,062 "," 232,129 "," 164,254 "," 239,337 "," 186,752 "," 157,124 "
 Territorial , Invercargill City , Bus , Fleet Size , 19 , 10 , 14 , 14 , 13 , 15 , 15 , 17 , 17 , 17 , 17 , 17 , 16 , 16 , 16 
 Territorial , Invercargill City , Bus , Passenger kilometres ," 1,223,700 "," 1,289,040 "," 889,907 "," 1,629,000 "," 1,711,948 "," 1,615,197 "," 306,692 "," 306,000 "," 2,058,964 "," 1,093,354 "," 990,547 "," 534,144 "," 642,293 "," 847,463 "," 913,087 "
 Territorial , Invercargill City , Bus , Service kilometres ," 430,000 "," 430,000 "," 355,000 "," 301,676 "," 306,692 "," 306,692 "," 306,692 "," 306,692 "," 306,692 "," 277,675 "," 291,479 "," 314,954 "," 314,954 "," 299,824 "," 242,536 "
 Territorial , Invercargill City , Bus , SuperGold Fare Substitute ," 34,024 "," 21,009 "," 16,947 "," 9,097 "," 16,528 "," 16,738 "," 21,249 "," 22,670 "," 23,348 "," 27,236 "," 32,623 "," 32,637 "," 66,042 "," 70,450 "," 75,202 "
 Territorial , Marlborough District , Bus , Boardings ," 23,523 "," 23,773 "," 25,149 "," 26,498 "," 26,979 "," 25,493 "," 22,691 "," 21,317 "," 22,652 "," 14,741 "," 14,511 "," 11,062 "," 12,996 "," 17,167 "," 18,170 "
 Territorial , Marlborough District , Bus , Boardings SuperGold ," 13,996 "," 14,868 "," 15,247 "," 16,053 "," 16,204 "," 14,807 "," 14,379 "," 13,642 "," 15,454 "," 11,962 "," 11,508 "," 9,580 "," 7,589 "," 10,150 "," 11,130 "
 Territorial , Marlborough District , Bus , Fares ," 15,139 "," 14,012 "," 15,663 "," 16,623 "," 17,152 "," 17,299 "," 13,606 "," 12,540 "," 11,831 "," 6,463 "," 7,575 "," 5,025 "," 4,197 "," 14,473 "," 14,923 "
 Territorial , Marlborough District , Bus , Fleet Size , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 3 , 3 , 3 , 2 , 3 , 3 
 Territorial , Marlborough District , Bus , Passenger kilometres ," 176,423 "," 178,298 "," 188,618 "," 198,735 "," 202,342 "," 178,946 "," 158,402 "," 148,570 "," 158,685 "," 105,800 "," 109,691 "," 81,779 "," 95,820 "," 259,982 "," 512,577 "
 Territorial , Marlborough District , Bus , Service kilometres ," 37,500 "," 39,510 "," 43,590 "," 43,590 "," 43,590 "," 42,135 "," 42,136 "," 46,053 "," 51,320 "," 46,522 "," 82,487 "," 56,609 "," 40,921 "," 48,978 "," 52,948 "
 Territorial , Marlborough District , Bus , SuperGold Fare Substitute ," 16,695 "," 16,807 "," 17,236 "," 18,147 "," 18,318 "," 16,738 "," 16,255 "," 15,421 "," 17,413 "," 25,131 "," 25,680 "," 25,691 "," 34,448 "," 36,666 "," 39,242 "
 Territorial , Nelson City , Bus , Boardings ," 50,714 "," 131,392 "," 351,685 "," 396,326 "," 415,326 "," 414,322 "," 426,237 "," 397,598 "," 417,918 "," 360,298 "," 363,056 "," 320,777 "," 450,332 "," 892,847 "," 918,056 "
 Territorial , Nelson City , Bus , Boardings SuperGold ," 36,914 "," 43,041 "," 53,724 "," 61,504 "," 68,036 "," 70,533 "," 81,816 "," 68,493 "," 79,236 "," 68,202 "," 53,071 "," 46,612 "," 51,476 "," 107,437 "," 107,737 "
 Territorial , Nelson City , Bus , Fares ," 76,033 "," 277,962 "," 910,802 "," 1,007,655 "," 788,555 "," 765,877 "," 755,947 "," 726,852 "," 752,714 "," 556,743 "," 469,863 "," 414,654 "," 348,640 "," 862,875 "," 1,061,344 "
 Territorial , Nelson City , Bus , Fleet Size , 2 , 9 , 10 , 10 , 10 , 11 , 11 , 11 , 13 , 13 , 13 , 13 , 13 , 21 , 21 
 Territorial , Nelson City , Bus , Passenger kilometres ," 436,820 "," 833,860 "," 2,317,280 "," 2,603,481 "," 2,784,873 "," 2,969,804 "," 2,955,992 "," 2,825,091 "," 2,940,100 "," 2,544,567 "," 3,920,865 "," 3,763,536 "," 3,763,536 "," 7,827,834 "," 7,987,087 "
 Territorial , Nelson City , Bus , Service kilometres ," 160,776 "," 247,852 "," 436,248 "," 444,311 "," 424,876 "," 468,505 "," 480,517 "," 426,560 "," 468,049 "," 409,288 "," 539,883 "," 539,883 "," 539,833 "," 1,270,099 "," 1,281,878 "
 Territorial , Nelson City , Bus , SuperGold Fare Substitute ," 69,022 "," 77,743 "," 96,839 "," 110,870 "," 122,493 "," 126,372 "," 142,275 "," 123,234 "," 163,916 "," 161,605 "," 158,936 "," 159,005 "," 169,389 "," 184,433 "," 201,751 "
 Territorial , Northland Regional Council , Bus , Boardings ," 287,006 "," 305,735 "," 305,737 "," 323,553 "," 312,821 "," 318,249 "," 320,022 "," 295,067 "," 336,265 "," 313,698 "," 330,221 "," 283,049 "," 348,433 "," 405,076 "," 406,826 "
 Territorial , Northland Regional Council , Bus , Boardings SuperGold ," 50,713 "," 55,322 "," 57,487 "," 58,818 "," 60,096 "," 60,113 "," 59,687 "," 62,614 "," 73,422 "," 58,307 "," 50,976 "," 38,464 "," 35,730 "," 49,079 "," 43,806 "
 Territorial , Northland Regional Council , Bus , Fares ," 527,612 "," 674,644 "," 574,933 "," 561,383 "," 545,875 "," 548,473 "," 609,868 "," 608,142 "," 521,294 "," 386,299 "," 355,552 "," 283,077 "," 328,824 "," 413,521 "," 446,175 "
 Territorial , Northland Regional Council , Bus , Fleet Size , 10 , 13 , 9 , 9 , 8 , 11 , 11 , 11 , 15 , 15 , 14 , 14 , 14 , 14 , 22 
 Territorial , Northland Regional Council , Bus , Passenger kilometres ," 4,660,963 "," 4,954,507 "," 4,953,341 "," 5,232,371 "," 5,102,110 "," 5,231,135 "," 5,041,655 "," 4,641,990 "," 4,747,894 "," 4,301,113 "," 4,591,251 "," 4,608,675 "," 5,574,322 "," 6,669,063 "," 6,616,233 "
 Territorial , Northland Regional Council , Bus , Service kilometres ," 379,825 "," 479,441 "," 382,108 "," 387,601 "," 391,751 "," 464,035 "," 469,915 "," 475,357 "," 534,493 "," 530,366 "," 556,295 "," 514,095 "," 512,954 "," 561,237 "," 562,127 "
 Territorial , Northland Regional Council , Bus , SuperGold Fare Substitute ," 91,978 "," 93,807 "," 97,478 "," 99,735 "," 101,902 "," 101,931 "," 99,863 "," 103,851 "," 123,679 "," 114,855 "," 83,475 "," 83,511 "," 11,877 "," 64,502 "," 64,363 "
 Territorial , Northland Regional Council , Ferry , Boardings ,,,,,,,,,,,,,," 30,153 "," 34,934 "
 Territorial , Northland Regional Council , Ferry , Fares ,,,,,,,,,,,,,," 29,948 "," 30,566 "
 Territorial , Northland Regional Council , Ferry , Passenger kilometres ,,,,,,,,,,,,,," 66,337 "," 76,855 "
 Territorial , Otago Regional Council , Bus , Boardings ," 2,689,157 "," 2,849,372 "," 2,927,188 "," 2,851,770 "," 2,809,010 "," 2,681,639 "," 2,651,996 "," 3,238,717 "," 4,013,254 "," 3,448,757 "," 3,595,254 "," 3,173,918 "," 4,054,167 "," 5,294,327 "," 5,458,646 "
 Territorial , Otago Regional Council , Bus , Boardings SuperGold ," 320,849 "," 333,857 "," 341,442 "," 356,498 "," 353,972 "," 367,790 "," 380,051 "," 405,621 "," 448,091 "," 379,999 "," 396,382 "," 397,909 "," 383,117 "," 378,909 "," 409,615 "
 Territorial , Otago Regional Council , Bus , Fares ," 5,310,546 "," 5,234,801 "," 6,158,430 "," 6,191,511 "," 6,476,113 "," 6,604,047 "," 6,131,913 "," 7,373,568 "," 9,345,476 "," 6,111,987 "," 3,761,331 "," 3,698,858 "," 3,052,973 "," 6,442,530 "," 6,954,368 "
 Territorial , Otago Regional Council , Bus , Fleet Size , 81 , 89 , 96 , 93 , 105 , 94 , 92 , 92 , 93 , 102 , 102 , 102 , 102 , 105 , 106 
 Territorial , Otago Regional Council , Bus , Passenger kilometres ," 16,124,517 "," 16,713,193 "," 17,275,472 "," 16,689,546 "," 15,288,361 "," 14,583,594 "," 14,316,089 "," 18,014,901 ",,,,,," 32,180,320 "," 31,798,497 "
