 Report Section , Region , PT Mode , Measures , 2010/11 , 2011/12 , 2012/13 , 2013/14 , 2014/15 , 2015/16 , 2016/17 , 2017/18 , 2018/19 , 2019/20 , 2020/21 , 2021/22 , 2022/23 , 2023/24 , 2024/25 
 Regional , Bay of Plenty , Bus , Boardings SuperGold ," 314,827 "," 365,520 "," 376,141 "," 397,060 "," 379,413 "," 382,892 "," 389,608 "," 393,521 "," 429,742 "," 331,290 "," 387,620 "," 318,916 "," 306,872 "," 332,958 "," 305,101 "
 Regional , Bay of Plenty , Bus , Fares ," 3,041,104 "," 3,547,320 "," 3,891,636 "," 3,850,986 "," 3,933,336 "," 4,081,526 "," 4,055,284 "," 3,958,600 "," 3,732,111 "," 2,563,873 "," 2,136,175 "," 1,480,636 "," 1,272,628 "," 2,187,300 "," 2,400,123 "
 Regional , Bay of Plenty , Bus , Fleet Size , 59 , 60 , 60 , 62 , 106 , 108 , 109 , 116 , 149 , 181 , 169 , 150 , 187 , 199 , 202 
 Regional , Bay of Plenty , Bus , Passenger kilometres ," 21,202,596 "," 26,017,243 "," 26,368,092 "," 25,050,302 "," 26,556,095 "," 26,766,310 "," 26,655,919 "," 24,005,085 "," 22,520,713 "," 19,730,790 "," 22,591,016 "," 19,401,622 "," 23,824,982 "," 32,761,524 "," 32,089,931 "
 Regional , Bay of Plenty , Bus , Service kilometres ," 5,117,546 "," 4,760,476 "," 4,713,062 "," 4,798,674 "," 5,504,912 "," 6,501,886 "," 6,373,009 "," 5,605,291 "," 6,267,041 "," 6,217,780 "," 7,302,702 "," 6,379,603 "," 5,784,089 "," 5,791,449 "," 5,350,867 "
 Regional , Bay of Plenty , Bus , SuperGold Fare Substitute ," 492,818 "," 547,719 "," 627,281 "," 674,753 "," 643,038 "," 653,967 "," 714,573 "," 721,917 "," 768,212 "," 843,504 "," 914,864 "," 915,234 "," 974,040 "," 1,063,724 "," 1,142,201 "
 Regional , Bay of Plenty , Ferry , Boardings ," 28,411 "," 24,666 "," 26,321 "," 29,959 "," 28,778 "," 28,028 "," 30,405 "," 25,414 "," 27,182 "," 23,786 "," 24,516 "," 20,844 "," 29,792 "," 32,744 "," 29,292 "
 Regional , Bay of Plenty , Ferry , Fares ," 38,761 "," 33,497 "," 35,699 "," 40,885 "," 39,415 ",,,,,," 29,748 "," 29,400 "," 41,285 "," 45,276 "," 40,748 "
 Regional , Bay of Plenty , Ferry , Fleet Size , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 Regional , Bay of Plenty , Ferry , Passenger kilometres ," 85,233 "," 73,998 "," 78,963 "," 89,877 "," 86,334 ",,,,,,,,," 115,422 "," 103,254 "
 Regional , Bay of Plenty , Ferry , Service kilometres ," 8,760 "," 8,448 "," 8,760 "," 8,760 "," 8,424 ",,,,,,,,," 10,321 ", -   
