 Wellington , Ferry , Passenger kilometres ,2024,2137010
 Wellington , Ferry , Service kilometres ,2024,102355
 Wellington , Ferry , SuperGold Fare Substitute ,2024,89239
 Wellington , Rail , Boardings ,2024,11290959
 Wellington , Rail , Boardings SuperGold ,2024,265418
 Wellington , Rail , Fares ,2024,33615844
 Wellington , Rail , Fleet Size ,2024,190
 Wellington , Rail , Passenger kilometres ,2024,266335721
 Wellington , Rail , Service kilometres ,2024,3178363
 Wellington , Rail , SuperGold Fare Substitute ,2024,2795164
 Auckland , Bus , Boardings ,2025,70169455
 Auckland , Bus , Boardings SuperGold ,2025,6454373
 Auckland , Bus , Fares ,2025,119898881
 Auckland , Bus , Fleet Size ,2025,1373
 Auckland , Bus , Passenger kilometres ,2025,454352296
 Auckland , Bus , Service kilometres ,2025,66202837
 Auckland , Bus , SuperGold Fare Substitute ,2025,14821287
 Auckland , Ferry , Boardings ,2025,6975004
 Auckland , Ferry , Boardings SuperGold ,2025,376185
 Auckland , Ferry , Fares ,2025,48131904
 Auckland , Ferry , Fleet Size ,2025,29
 Auckland , Ferry , Passenger kilometres ,2025,65776766
 Auckland , Ferry , Service kilometres ,2025,1330891
 Auckland , Ferry , SuperGold Fare Substitute ,2025,4235176
 Auckland , Rail , Boardings ,2025,13730337
 Auckland , Rail , Boardings SuperGold ,2025,727240
 Auckland , Rail , Fares ,2025,36758366
 Auckland , Rail , Fleet Size ,2025,
 Auckland , Rail , Passenger kilometres ,2025,169989648
 Auckland , Rail , Service kilometres ,2025,3385975
 Canterbury , Bus , Boardings ,2025,15220103
 Canterbury , Bus , Boardings SuperGold ,2025,1456489
 Canterbury , Bus , Fares ,2025,12591854
 Canterbury , Bus , Fleet Size ,2025,310
 Canterbury , Bus , Passenger kilometres ,2025,128695277
 Canterbury , Bus , Service kilometres ,2025,16225778
 Canterbury , Bus , SuperGold Fare Substitute ,2025,4002770
 Canterbury , Ferry , Boardings ,2025,174998
 Canterbury , Ferry , Boardings SuperGold ,2025,26585
 Canterbury , Ferry , Fares ,2025,442317
 Canterbury , Ferry , Fleet Size ,2025,2
 Canterbury , Ferry , Passenger kilometres ,2025,524994
 Canterbury , Ferry , Service kilometres ,2025,41172
 Canterbury , Ferry , SuperGold Fare Substitute ,2025,82586
 Wellington , Bus , Boardings ,2025,26193836
 Wellington , Bus , Boardings SuperGold ,2025,2480800
 Wellington , Bus , Fares ,2025,39857635
 Wellington , Bus , Fleet Size ,2025,482
 Wellington , Bus , Passenger kilometres ,2025,162741753
 Wellington , Bus , Service kilometres ,2025,16614522
 Wellington , Bus , SuperGold Fare Substitute ,2025,6621038
 Wellington , Ferry , Boardings ,2025,128459
 Wellington , Ferry , Boardings SuperGold ,2025,12457
 Wellington , Ferry , Fares ,2025,1174390
 Wellington , Ferry , Fleet Size ,2025,3
 Wellington , Ferry , Passenger kilometres ,2025,1496437
 Wellington , Ferry , Service kilometres ,2025,95036
 Wellington , Ferry , SuperGold Fare Substitute ,2025,93484
 Wellington , Rail , Boardings ,2025,10425644
 Wellington , Rail , Boardings SuperGold ,2025,340072
 Wellington , Rail , Fares ,2025,37904323
 Wellington , Rail , Fleet Size ,2025,
 Wellington , Rail , Passenger kilometres ,2025,251420361
 Wellington , Rail , Service kilometres ,2025,3053303
 Wellington , Rail , SuperGold Fare Substitute ,2025,2926797
